CAS登録番号,物質名称,ニトリルゴム (0.1 mm),ニトリルゴム (0.11 mm),ニトリルゴム (0.12 mm),ニトリルゴム (0.13 mm),ニトリルゴム (0.2 mm),ニトリルゴム (0.3 mm),ニトリルゴム (0.38 mm),ニトリルゴム (0.45 mm),ニトリルゴム (0.46 mm),天然ゴム（ラテックス） (0.23 mm),ブチルゴム (0.35 mm),クロロプレンゴム (0.18 mm),クロロプレンゴム (0.45 mm),ポリビニルアルコール（PVA）,クロロスルホン化ポリエチレン（CSM） (0.9 mm),ポリ塩化ビニル,ウレタン (0.5 mm),フッ素ゴム/ブチルゴム (0.3 mm),クロロプレン/天然ゴム (0.68 mm),クロロプレン/天然ゴム (0.7 mm),ニトリル/ネオプレンゴム (0.2 mm),ニトリル/ネオプレンゴム (0.38 mm),ポリ塩化ビニル/ニトリルゴム,多層フィルム（LLDPE） (0.062 mm),多層フィルム（EVOH） (0.06 mm),その他多層/複層フィルム
109-52-4,吉草酸,1,,,,1,2,,2,,1,3,2,,0,,,,3,2,,1,,2,2,,
109-55-7,Ｎ，Ｎ－ジメチル－１，３－ジアミノプロパン,0,,,,0,1,,,1,0,2,0,,3,,0,,3,1,,0,,1,3,,0
109-61-5,クロロぎ酸ノルマルプロピル,0,,,,0,0,,,0,0,3,0,,3,,,,2,1,,0,,0,3,,
109-63-7,三フッ化ホウ素ジエチルエーテル（別名三フッ化ホウ素エーテルコンプレックス）,0,,,,1,3,,3,,0,3,1,,,,,,3,1,,1,,1,,,3
109-73-9,ｎ－ブチルアミン,0,,,,0,0,,0,,0,0,0,,0,,0,,1,0,,0,,0,3,3,3
109-79-5,１－ブタンチオール,0,,,,1,1,,2,,0,3,0,,0,,,,3,0,,1,,1,3,3,
109-83-1,２－メチルアミノエタノール,1,,,,1,2,,3,,0,3,2,,3,,,,3,2,,2,,1,3,,3
109-86-4,エチレングリコールモノメチルエーテル,0,,,,0,1,,2,,0,3,0,,1,,,,3,1,,1,,1,3,3,3
109-89-7,ジエチルアミン,0,,,,0,1,,1,,0,0,0,,0,0,0,1,1,0,,0,,1,3,,3
109-99-9,テトラヒドロフラン,0,,,,0,0,,,0,0,0,0,,1,,0,0,1,0,,0,,0,3,3,3
110-16-7,マレイン酸,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,3
110-18-9,Ｎ，Ｎ，Ｎ’，Ｎ’－テトラメチルエチレンジアミン,0,,,,1,2,,2,,0,1,0,,0,,,,2,0,,1,,0,3,,3
110-25-8,オレオイルザルコシン,1,,,,2,3,,3,,0,1,1,,2,,,,3,2,,2,,2,3,,
110-49-6,エチレングリコールモノメチルエーテルアセテート,0,,,,0,1,,1,,0,3,1,,3,,,,2,1,,1,,1,3,3,3
110-54-3,ノルマル－ヘキサン,1,,,,1,3,,3,,0,0,1,,3,,0,3,3,1,,3,,1,3,3,3
110-62-3,１－ペンタナール（別名ｎ－バレルアルデヒド）,0,,,,0,0,,0,,0,1,0,,1,,,,1,1,,0,,0,3,3,
110-65-6,２－ブチン－１，４－ジオール,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
110-80-5,エチレングリコールモノエチルエーテル,0,,,,1,2,,2,,0,3,1,,1,,,,3,1,,1,,1,3,,3
110-85-0,ピペラジン,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,0
110-86-1,ピリジン,0,,,,0,0,,0,,0,2,0,,1,,,,1,,0,0,,0,3,3,3
110-89-4,ピペリジン,0,,,,0,1,,2,,0,3,0,,,,,,2,0,,1,,0,3,3,0
110-91-8,モルホリン,0,,,,0,0,,,0,0,3,0,,2,,1,,2,1,,0,,0,3,3,3
110-97-4,ジイソプロパノールアミン,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
111-14-8,ノルマルヘプタン酸,1,,,,1,2,,3,,0,3,2,,0,,,,3,2,,2,,2,3,,
111-15-9,エチレングリコールモノエチルエーテルアセテート（別名セロソルブアセテート）,0,,,,0,1,,2,,0,3,1,,3,,,,2,1,,1,,1,3,3,3
111-17-1,３，３’－チオジプロピオン酸,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
111-30-8,グルタルアルデヒド,0,,,,0,0,,1,,0,3,0,,1,,,,2,1,,0,,0,3,3,3
111-36-4,１－イソシアナートブタン,0,,,,1,1,,1,,0,0,0,,3,,,,0,0,,0,,0,3,,
111-40-0,Ｎ－（２－アミノエチル）－１，２－エタンジアミン（別名ジエチレントリアミン）,0,,,,1,1,,2,,0,3,2,,0,,,,3,,2,2,,2,3,3,3
111-41-1,Ｎ－（２－アミノエチル）－２－アミノエタノール,1,,,,2,3,,3,,2,3,2,,1,,,,3,3,,2,,3,3,,3
111-42-2,２，２’－イミノジエタノール,2,,,,2,3,,3,,2,3,2,,3,,,,3,3,,3,,3,3,3,3
111-44-4,ビス（２－クロロエチル）エーテル,0,,,,0,1,,1,,0,3,0,,3,,,,3,0,,0,,0,3,3,3
111-49-9,ヘキサヒドロ－１Ｈ－アゼピン,0,,,,0,1,,1,,0,1,0,,1,,,,1,1,,0,,0,3,3,
111-69-3,アジポニトリル,0,,,,0,,0,,0,0,3,1,,3,,,,3,1,,1,,1,3,3,3
111-76-2,エチレングリコールモノ－ノルマル－ブチルエーテル（別名ブチルセロソルブ）,1,,,,1,2,,3,,0,3,2,,2,,2,,3,1,,2,,2,3,3,3
111-78-4,シクロオクタ－１，５－ジエン,1,,,,1,3,,3,,0,0,0,,3,,,,3,1,,3,,2,3,3,3
111-86-4,１－オクタンアミン,0,,,,0,1,,,1,0,1,1,,1,,,,2,1,,1,,1,3,3,
111-92-2,ジブチルアミン,1,,,,1,2,,3,,0,0,1,,3,,,,3,1,,2,,1,3,3,0
111-96-6,ジエチレングリコールジメチルエーテル,0,,,,0,1,,1,,0,2,0,,3,,,,2,1,,0,,1,3,3,3
112-02-7,ヘキサデカン－１－イル（トリメチル）アンモニウム＝クロリド,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
112-07-2,エチレングリコールモノブチルエーテルアセタート【２－ブトキシエチルアセタート又はＥＧＢＥＡ】,0,,,,0,1,,2,,0,3,0,,3,,,,2,1,,1,,1,3,3,0
112-18-5,Ｎ，Ｎ－ジメチルドデカン－１－イルアミン,1,,,,2,3,,3,,0,1,1,,3,,,,3,1,,2,,1,3,3,
112-24-3,トリエチレンテトラミン,2,,,,2,3,,3,,1,3,2,,0,,,,3,,2,2,,1,3,,3
112-55-0,ｎ－ドデシルメルカプタン,2,,,,2,3,,3,,0,2,1,,3,,,,3,2,,2,,2,3,3,
112-57-2,テトラエチレンペンタミン,2,,,,3,3,,3,,1,3,2,,0,,,,3,,2,3,,2,3,,3
112-75-4,Ｎ，Ｎ－ジメチルテトラデカン－１－イルアミン,,1,,,2,3,,3,,0,1,1,,3,,,,3,1,,2,,1,3,3,
112-90-3,（Ｚ）－９－オクタデセン－１－アミン（別名オレイルアミン）,2,,,,3,3,,3,,1,3,3,,3,,,,3,3,,3,,3,3,3,
113-00-8,グアニジン,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
115-19-5,３－メチル－１－ブチン－３－オール,0,,,,0,0,,0,,0,3,1,,1,,,,3,1,,0,,0,3,,
115-21-9,トリクロロエチルシラン,0,,,,0,1,,,1,0,0,0,,3,,,,3,0,,1,,0,3,,
