CAS登録番号,物質名称,ニトリルゴム (0.1 mm),ニトリルゴム (0.11 mm),ニトリルゴム (0.12 mm),ニトリルゴム (0.13 mm),ニトリルゴム (0.2 mm),ニトリルゴム (0.3 mm),ニトリルゴム (0.38 mm),ニトリルゴム (0.45 mm),ニトリルゴム (0.46 mm),天然ゴム（ラテックス） (0.23 mm),ブチルゴム (0.35 mm),クロロプレンゴム (0.18 mm),クロロプレンゴム (0.45 mm),ポリビニルアルコール（PVA）,クロロスルホン化ポリエチレン（CSM） (0.9 mm),ポリ塩化ビニル,ウレタン (0.5 mm),フッ素ゴム/ブチルゴム (0.3 mm),クロロプレン/天然ゴム (0.68 mm),クロロプレン/天然ゴム (0.7 mm),ニトリル/ネオプレンゴム (0.2 mm),ニトリル/ネオプレンゴム (0.38 mm),ポリ塩化ビニル/ニトリルゴム,多層フィルム（LLDPE） (0.062 mm),多層フィルム（EVOH） (0.06 mm),その他多層/複層フィルム
139-07-1,ベンジル（ドデシル）ジメチルアンモニウム＝クロリド,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
139-08-2,ベンジル（ジメチル）（テトラデシル）アンモニウム＝クロリド,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
140-31-8,２－ピペラジン－１－イルエチルアミン,3,,,,3,3,,3,,0,3,2,,,,,,3,1,,2,,1,3,,3
140-66-9,４－（２，４，４－トリメチルペンタン－２－イル）フェノール,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
140-88-5,アクリル酸エチル,0,,,,0,1,,1,,0,2,0,,3,,,,2,0,,0,,0,3,3,3
141-32-2,アクリル酸ノルマル－ブチル,0,,,,0,1,,1,,0,3,0,,3,,1,,2,1,,0,,0,3,3,3
141-43-5,２－アミノエタノール,2,,,,2,3,,3,,2,3,2,,3,,3,,2,1,,2,,3,3,,3
141-66-2,りん酸ジメチル＝（Ｅ）－１－（Ｎ，Ｎ－ジメチルカルバモイル）－１－プロペン－２－イル（別名ジクロトホス）,0,,,,0,1,,1,,0,3,0,,,,,,3,1,,0,,0,3,,
141-75-3,ブチリル＝クロリド,0,,,,0,1,,1,,0,0,0,,2,,,,2,0,,0,,0,2,,
142-16-5,ビス（２－エチルヘキサン－１－イル）＝マレアート,1,,,,1,1,,,1,0,3,1,,0,,,,3,2,,1,,1,3,3,
142-28-9,１，３－ジクロロプロパン,0,,,,0,0,,,0,0,1,0,,3,,,,2,0,,0,,1,3,3,
142-59-6,二ナトリウム＝エタン－１，２－ジイルジカルバモジチオアート（別名ナバム）,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
142-62-1,ヘキサン酸,1,,,,1,2,,3,,1,3,2,,0,,,,3,2,,2,,2,3,,
142-83-6,２，４－ヘキサジエナール,0,,,,0,1,,1,,0,3,0,,2,,,,1,1,,0,,0,3,3,
142-84-7,ジノルマルプロピルアミン,1,,,,1,2,,2,,0,0,0,,2,,,,2,0,,1,,1,3,3,0
143-50-0,クロルデコン,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
144-49-0,フルオロ酢酸,0,,,,0,1,,1,,1,3,2,,0,,,,3,3,,1,,1,3,,
144-54-7,Ｎ－メチルジチオカルバミン酸 （別名メタム）,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
144-62-7,しゅう酸,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,3
148-24-3,８－キノリノール,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
149-30-4,２－メルカプトベンゾチアゾール,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
149-57-5,２－エチルヘキサン酸,2,,,,2,3,,3,,1,3,2,,1,,,,3,3,,2,,3,3,,3
150-76-5,パラ－メトキシフェノール,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
151-21-3,ドデシル硫酸ナトリウム,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
156-43-4,ｐ－フェネチジン,0,,,,0,1,,1,,0,3,1,,3,,,,3,2,,1,,1,3,3,
156-62-7,カルシウムシアナミド,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
156-87-6,３－アミノ－１－プロパノール,2,,,,2,3,,3,,2,3,2,,3,,,,2,2,,3,,3,3,,
189-55-9,ジベンゾ［ａ，ｉ］ピレン,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
189-64-0,ジベンゾ［ａ，ｈ］ピレン,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
193-39-5,インデノ［１，２，３－ｃｄ］ピレン,3,,,,3,3,,3,,0,3,2,,3,,,,3,3,,3,,2,3,3,
205-82-3,ベンゾ［ｊ］フルオランテン,3,,,,3,3,,3,,0,3,2,,3,,,,3,3,,3,,2,3,3,
205-99-2,ベンゾ［ｅ］フルオラセン,3,,,,3,3,,3,,0,3,2,,3,,,,3,3,,3,,2,3,3,
207-08-9,ベンゾ［ｋ］フルオランテン,3,,,,3,3,,3,,0,3,2,,3,,,,3,3,,3,,2,3,3,
218-01-9,クリセン,3,,,,3,3,,3,,0,3,2,,3,,,,3,3,,3,,2,3,3,
288-32-4,イミダゾール,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
297-78-9,イソベンザン（テロドリン）,3,,,,3,3,,3,,2,3,3,,3,,,,3,3,,3,,3,3,3,
297-97-2,チオナジン,0,,,,0,0,,1,,0,2,0,,1,,,,1,0,,0,,0,3,,
298-00-0,ジメチル－パラ－ニトロフェニルチオホスフェイト（別名メチルパラチオン）,2,,,,2,3,,3,,1,3,2,,3,,,,3,3,,3,,3,3,,3
298-02-2,ジチオりん酸Ｏ，Ｏ－ジエチル－Ｓ－エチルチオメチル【ホレート】,0,,,,0,0,,1,,0,1,0,,,,,,1,0,,0,,0,3,,
298-04-4,ジチオリン酸Ｏ，Ｏ－ジエチル－Ｓ－（２－エチルチオエチル）（別名ジスルホトン）,0,,,,0,1,,1,,0,2,0,,,,,,3,0,,0,,0,3,,
298-07-7,りん酸水素ビス（２－エチルヘキシル）,1,,,,2,3,,3,,0,3,1,,,,,,3,1,,2,,3,3,3,
298-12-4,グリオキシル酸,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
300-76-5,りん酸１，２－ジブロモ－２，２－ジクロロエチル＝ジメチル,2,,,,2,3,,3,,1,3,2,,3,,,,3,3,,3,,3,3,3,3
301-04-2,酢酸鉛（Ⅱ）,,,,,,,,,,,,,,,,,,,,,,,,,,
302-01-2,ヒドラジン,1,,,,1,3,,3,,0,3,1,,0,,,,3,2,,2,,3,3,1,3
302-17-0,抱水クロラール,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
304-20-1,ヒドララジン塩酸塩,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
309-00-2,１，２，３，４，１０，１０－ヘキサクロロ－１，４，４ａ，５，８，８ａ－ヘキサヒドロ－エキソ－１，４－エンド－５，８－ジメタノナフタレン（別名アルドリン）,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
317-34-0,アミノフィリン,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
333-29-9,ジエチル－（１，３－ジチオシクロペンチリデン）－チオホスホルアミド,0,,,,1,2,,2,,0,2,1,,2,,,,3,1,,1,,2,3,,
333-41-5,チオリン酸Ｏ，Ｏ－ジエチル－Ｏ－（２－イソプロピル－６－メチル－４－ピリミジニル） (別名ダイアジノン),0,,,,0,1,,1,,0,3,1,,1,,,,2,1,,0,,1,3,,3
334-48-5,デカン酸,3,,,,3,3,,3,,2,3,3,,3,,,,3,3,,3,,3,3,3,
334-88-3,ジアゾメタン,,,,,,,,,,,,,,,,,,,,,,,,,,
335-67-1,ペルフルオロオクタン酸,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
351-05-3,モノフルオール酢酸パラブロムアニリド,3,,,,3,3,,3,,2,3,3,,3,,,,3,3,,3,,3,3,3,
381-73-7,ジフルオロ酢酸,0,,,,0,1,,1,,0,3,1,,0,,,,3,2,,0,,1,3,,
420-04-2,シアナミド,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,,
431-03-8,ジアセチル,0,,,,0,0,,0,,0,3,0,,3,,,,2,0,,0,,0,3,3,
446-86-6,アザチオプリン,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
470-90-6,クロルフェンビンホス,0,,,,0,1,,1,,0,1,0,,2,,,,2,1,,0,,0,3,3,
479-45-8,テトリル,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
497-19-8,炭酸ナトリウム,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,3
505-60-2,ビス（２－クロロエチル）スルフィド（別名マスタードガス）,,,,,,,,,,,,,,,,,,,,,,,,,,3
506-64-9,シアン化銀（Ⅰ）,3,,,,3,3,,3,,2,3,3,,3,,,,3,3,,3,,3,3,3,3
506-77-4,塩化シアン,,,,,,,,,,,,,,,,,,,,,,,,,,3
526-75-0,２，３－キシレノール （別名２，３－ジメチルフェノール）,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
528-29-0,ｏ－ジニトロベンゼン,3,,,,3,3,,3,,2,3,3,,3,,,,3,3,,3,,3,3,3,
532-27-4,オメガ－クロロアセトフェノン,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
534-52-1,４，６－ジニトロ－ｏ－クレゾール,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,3
538-75-0,ジシクロヘキシルカルボジイミド,3,,,,3,3,,3,,,,,,,,,,,,,,,,,,
540-73-8,１，２－ジメチルヒドラジン,0,,,,0,0,,1,,0,3,0,,1,,,,3,0,,0,,0,2,,
541-41-3,クロロギ酸エチル,0,,,,0,0,,,,0,3,0,,3,,,,2,,0,0,,0,3,,3
541-69-5,ｍ－フェニレンジアミン二塩酸塩,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
542-75-6,１，３－ジクロロプロペン,0,,,,0,0,,0,,0,1,0,,3,,,,2,0,,0,,0,3,3,0
542-92-7,シクロペンタジエン,0,,,,0,0,,1,,0,0,0,,3,,,,3,0,,0,,1,3,3,
544-18-3,ギ酸コバルト（Ⅱ）,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
544-92-3,シアン化銅 （Ⅰ）,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
544-97-8,ジメチル亜鉛,,,,,,,,,,,,,,,,,,,,,,,,,,
552-30-7,１，２，４－ベンゼントリカルボン酸１，２－無水物,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
556-52-5,２，３－エポキシ－１－プロパノール,1,,,,1,2,,3,,0,3,2,,2,,,,3,2,,1,,2,3,,
556-61-6,イソチオシアン酸メチル,0,,,,0,0,,,0,0,0,0,,,,,,2,0,,0,,0,2,,
556-82-1,３－メチル－２－ブテン－１－オール,1,,,,1,2,,2,,0,3,1,,2,,,,3,1,,2,,2,3,,
558-13-4,テトラブロモメタン,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
558-25-8,メタンスルホン酸フルオリド,0,,,,0,0,,,0,0,1,0,,,,,,1,1,,0,,0,3,,
562-81-2,シアン化白金バリウム,,,,,,,,,,,,,,,,,,,,,,,,,,
563-12-2,ビス（ジチオりん酸）Ｓ，Ｓ’－メチレン－Ｏ，Ｏ，Ｏ’，Ｏ’－テトラエチル,0,,,,0,0,,,0,0,1,0,,,,,,1,0,,0,,0,3,,3
563-47-3,３－クロロ－２－メチルー１－プロペン,0,,,,0,1,,1,,0,1,0,,2,,,,2,0,,1,,0,3,3,0
569-64-2,Ｎ－［４－［［４－（ジメチルアミノ）フェニル］フェニルメチレン］－２，５－シクロヘキサジエン－１－イリデン］－Ｎ－メチルメタンアミニウム・クロリド (別名マラカイトグリーン),,,,,,,,,,,,,,,,,,,,,,,,,3,
576-26-1,２，６－キシレノール,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
582-25-2,安息香酸カリウム塩,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
583-60-8,２－メチルシクロヘキサノン,0,,,,0,1,,2,,0,3,0,,3,,,,2,1,,1,,1,3,3,
583-91-5,２－ヒドロキシ－４－メチルチオ酪酸,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,,
584-79-2,アレスリン（１ＲＳ，ｃｉｓ， ｔｒａｎｓ－ 混合物）,0,,,,0,1,,,1,0,3,1,,2,,,,3,1,,1,,2,3,3,
591-27-5,ｍ－アミノフェノール,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
591-78-6,メチル－ノルマル－ブチルケトン,0,,,,0,0,,1,,0,1,0,,3,,,,1,0,,0,,1,3,3,
592-01-8,シアン化カルシウム,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
594-27-4,テトラメチルスズ,1,,,,2,3,,3,,0,0,0,,,,,,2,1,,1,,1,,,
594-42-3,トリクロロメチルスルフェニル＝クロリド,1,,,,1,3,,3,,,,,,,,,,,,,,,,,,
598-56-1,Ｎ，Ｎ－ジメチルエチルアミン,,0,,,1,2,,3,,0,0,0,,3,,,,2,0,,3,,1,3,,0
598-78-7,２－クロロプロピオン酸,0,,,,0,1,,1,,1,3,2,,0,,,,3,3,,1,,1,3,,
603-35-0,トリフェニルホスフィン,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
611-06-3,２，４－ジクロロ－１－ニトロベンゼン（別名１－クロロ－２－ニトロベンゼン）,3,,,,3,3,,3,,2,3,3,,3,,,,3,3,,3,,3,3,3,
614-45-9,ｔｅｒｔ－ブチルペルオキシベンゾアート,1,,,,2,3,,3,,0,3,2,,,,,,3,1,,2,,1,3,3,3
615-05-4,２，４－ジアミノアニソール,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
615-28-1,ｏ－フェニレンジアミン二塩酸塩,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
622-08-2,エチレングリコールモノベンジルエーテル,,0,,,1,2,,2,,0,3,1,,0,,,,3,1,,1,,2,3,3,
624-18-0,ｐ－フェニレンジアミン二塩酸塩,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
624-48-6,マレイン酸ジメチルエステル,0,,,,0,1,,1,,0,3,1,,0,,,,3,2,,0,,1,3,,3
624-83-9,イソシアン酸メチル,0,,,,0,0,,0,,0,0,0,,3,,,,0,0,,0,,0,3,,3
624-92-0,ジメチルジスルフィド,0,,,,0,1,,1,,0,1,0,,3,,,,2,0,,0,,0,3,3,0
625-45-6,メトキシ酢酸,0,,,,0,1,,1,,1,3,2,,0,,,,3,3,,1,,2,2,,
626-38-0,酢酸ｓｅｃ－ペンチル,0,,,,0,1,,,1,0,2,0,,3,,,,1,1,,1,,1,3,3,
626-67-5,１－メチルピペリジン,,0,,,1,2,,,2,0,2,0,,2,,,,2,1,,1,,1,3,3,
631-60-7,酢酸水銀（Ⅰ）,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
640-15-3,ジチオりん酸Ｓ－２－（エチルチオ）エチル－Ｏ，Ｏ－ジメチル,0,,,,0,0,,1,,0,1,0,,,,,,1,0,,0,,0,3,,
643-79-8,ｏ－フタルアルデヒド,3,,,,3,3,,3,,2,3,3,,3,,,,3,3,,3,,3,3,3,3
644-97-3,フェニルジクロロホスフィン,0,,,,0,1,,1,,0,0,0,,,,,,2,0,,0,,0,3,,
674-82-8,４－メチリデンオキセタン－２－オン,0,,,,0,0,,0,,0,2,0,,0,,,,0,0,,0,,0,3,3,
676-97-1,メチルホスホン酸ジクロリド,2,,,,2,3,,3,,1,3,2,,3,,,,3,3,,3,,3,3,,
680-31-9,ヘキサメチルホスホリックトリアミド,,0,,,1,2,,2,,1,3,1,,,,,,3,2,,1,,1,,,0
681-84-5,テトラメトキシシラン,1,,,,1,2,,2,,0,3,1,,,,,,3,1,,1,,1,3,,
683-18-1,ジブチルスズジクロリド,3,,,,3,3,,3,,2,3,3,,3,,,,3,3,,3,,3,3,3,
684-16-2,ヘキサフルオロアセトン,,,,,,,,,,,,,,,,,,,,,,,,,,
684-93-5,Ｎ－メチル－Ｎ－ニトロソ尿素,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
693-13-0,１，３－ジイソプロピルカルボジイミド,0,,,,1,1,,,1,,1,0,,,,,,2,0,,1,,,,,
700-13-0,２，３，５－トリメチルハイドロキノン,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
731-27-1,Ｎ－ジクロロフルオロメチルチオ－Ｎ’，Ｎ’－ジメチル－Ｎ－パラ－トリルスルファミド（別名トリルフルアニド）,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
760-67-8,２－エタン－１－イルヘキサノイル＝クロリド,1,,,,2,3,,3,,0,0,0,,2,,,,2,0,,0,,0,2,,
763-69-9,エチル＝３－エトキシプロパノアート,0,,,,0,1,,1,,0,3,0,,2,,,,3,1,,1,,0,3,3,0
764-41-0,１，４－ジクロロ－２－ブテン,0,,,,0,0,,0,,0,0,0,,3,,,,2,0,,0,,0,3,3,0
768-52-5,Ｎ－イソプロピルアニリン,0,,,,0,1,,1,,0,2,1,,3,,,,3,1,,1,,0,3,3,
770-35-4,１－フェノキシ－２－プロパノール,0,,,,1,1,,1,,0,3,1,,,,,,3,2,,1,,1,3,3,
786-19-6,カルボフェノチオン,0,,,,0,1,,1,,0,1,0,,,,,,1,0,,0,,0,3,,
793-24-8,Ｎ－（１，３－ジメチルブチル）－Ｎ’－フェニル－パラ－フェニレンジアミン,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
814-78-8,メチルイソプロペニルケトン,0,,,,0,0,,,0,0,0,0,,2,,,,2,0,,0,,1,3,3,
814-94-8,シュウ酸第一スズ,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
818-08-6,ジブチルスズオキサイド,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
818-61-1,アクリル酸２－ヒドロキシエチル,,0,,,1,2,,2,,0,3,2,,3,,,,3,1,,1,,2,3,,3
822-06-0,ヘキサメチレン＝ジイソシアネート （別名ヘキサン－１，６－ジイソシアネート）,0,,,,0,1,,,1,0,3,0,,3,,,,3,1,,1,,1,3,,3
826-36-8,２，２，６，６－テトラメチルピペリジン－４－オン,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
828-00-2,６－アセトキシ－２，４－ジメチル－１，３－ジオキサン,0,,,,0,0,,,0,0,1,0,,2,,,,,0,,0,,0,3,3,0
868-77-9,メタクリル酸 ２－ヒドロキシエチル,1,,,,1,2,,3,,0,3,2,,2,,,,3,3,,2,,2,3,,3
872-50-4,Ｎ－メチル－２－ ピロリドン【Ｎ－メチルピロリドン】,0,,,,0,1,,1,,0,3,0,,0,,2,,2,1,,0,,0,3,3,3
900-95-8,酢酸トリフェニルスズ,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
917-69-1,酢酸コバルト（Ⅲ）,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
919-30-2,ガンマ－アミノプロピルトリエトキシシラン,3,,,,3,3,,3,,0,3,2,,0,,,,3,2,,3,,2,3,,
923-26-2,２－ヒドロキシプロピルメタクリラート,2,,,,2,3,,3,,0,3,2,,2,,,,3,3,,2,,2,3,,
944-22-9,Ｏ－エチル－Ｓ－フェニル＝エチルホスホノチオロチオナート（別名ホノホス）,0,,,,0,0,,1,,0,1,0,,1,,,,1,0,,0,,0,3,,
999-61-1,アクリル酸２－ヒドロキシプロピル,0,,,,0,1,,,1,0,3,2,,3,,,,3,1,,1,,2,3,,
999-97-3,ヘキサメチル－ジシラザン,2,,,,2,3,,3,,0,3,1,,3,,,,3,1,,3,,2,3,,
1024-57-3,１，４，５，６，７，８，８－ヘプタクロロ－２，３－エポキシ－３ａ，４，７，７ａ－テトラヒドロ－４，７－メタノ－１Ｈ－インデン（別名ヘプタクロルエポキシド）,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
1071-83-6,Ｎ－（ホスホノメチル）グリシン （別名グリホサート）,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,3
1071-93-8,アジピン酸ジヒドラジド,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
1072-52-2,２－（１－アジリジニル）エタノール,0,,,,1,2,,2,,0,3,1,,1,,,,3,1,,1,,1,3,,
1085-98-9,Ｎ－ジクロロフルオロメチルチオ－Ｎ’，Ｎ’－ジメチル－Ｎ－フェニルスルファミド（別名ジクロフルアニド）,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
1116-54-7,Ｎ－ニトロソジエタノールアミン,1,,,,1,2,,2,,0,3,0,,2,,,,3,1,,1,,1,3,,
1118-46-3,ブチルトリクロロスズ,0,,,,1,1,,2,,0,3,0,,3,,,,3,0,,1,,1,,,
1205-17-0,３－（１，３－ベンゾジオキソール－５－イル）－２－メチルプロパナール,,,,,,,,,,,,,,,,,,,,,,,,,3,
1300-73-8,キシリジン,0,,,,0,1,,1,,0,3,0,,3,,,,3,1,,1,,1,3,3,
1302-42-7,アルミン酸ナトリウム,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
1305-62-0,水酸化カルシウム,3,,,,3,3,,3,,3,3,3,,3,,3,,3,3,,3,,3,3,3,3
1305-78-8,生石灰（別名酸化カルシウム）,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
1305-79-9,過酸化カルシウム,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
1305-99-3,りん化石灰,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
1308-14-1,水酸化クロム水和物,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
1308-38-9,酸化クロム （Ⅲ）,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
1310-58-3,水酸化カリウム,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,3
1310-65-2,水酸化リチウム,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,3
1310-66-3,水酸化リチウム水和物,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
1310-73-2,水酸化ナトリウム,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,0
1312-73-8,硫化カリウム,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
1313-60-6,過酸化ナトリウム,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
1313-82-2,硫化ナトリウム,3,,,,3,3,,3,,3,3,3,,0,,,,3,3,,3,,3,3,3,3
1313-99-1,酸化ニッケル,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
1314-06-3,酸化ニッケル（Ⅲ）,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
1314-23-4,酸化ジルコニウム,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
1314-56-3,五酸化りん,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
1317-38-0,酸化銅（Ⅱ）,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
1319-77-3,クレゾール,,0,,,1,2,,2,,0,3,2,,3,,,,3,2,,2,,2,3,,3
1321-64-8,ペンタクロロナフタレン,3,,,,3,3,,3,,2,3,3,,3,,,,3,3,,3,,3,3,3,
1321-65-9,トリクロロナフタレン,3,,,,3,3,,3,,2,3,3,,3,,,,3,3,,3,,3,3,3,
1321-74-0,ジビニルベンゼン,0,,,,0,1,,,1,0,0,0,,3,,0,,3,1,,0,,1,3,3,3
1330-20-7,キシレン,0,,,,0,1,,,1,0,1,0,,3,,0,,3,0,,1,,1,3,3,3
1330-78-5,りん酸トリトリル,2,,,,2,3,,3,,2,3,2,,3,,3,,3,3,,3,,3,3,3,3
1331-22-2,メチルシクロヘキサノン（異性体混合物）,0,,,,0,1,,2,,0,3,0,,3,,,,2,1,,1,,1,3,3,
1335-87-1,ヘキサクロロナフタレン,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
1338-23-4,エチルメチルケトンペルオキシド,1,,,,1,1,,2,,0,3,1,,2,,,,3,2,,1,,2,3,,0
1341-49-7,一水素二フッ化アンモニウム,3,,,,3,3,,3,,2,3,3,,3,,,,3,3,,3,,3,3,,3
1344-08-7,多硫化ナトリウム,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
1344-37-2,ピグメントイエロー３４,,,,,,,,,,,,,,,,,,,,,,,,,,
1402-68-2,アフラトキシン,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
1477-55-0,メタ－キシリレンジアミン,0,,,,0,0,,0,,0,3,2,,3,,,,3,1,,1,,1,3,3,3
1522-92-5,３－ブロモ－２，２－ビス（ブロモメチル）プロパン－１－オール,,,,,,,,,,,,,,,,,,,,,,,,,,
1569-02-4,プロピレングリコールエチルエーテル （別名１－エトキシ－２－プロパノール）,1,,,,1,2,,,2,0,3,2,,2,,,,3,2,,2,,1,3,3,0
1570-64-5,４－クロロ－２－メチルフェノール,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
1582-09-8,α，α，α－トリフルオロ－２，６－ジニトロ－Ｎ，Ｎ－ジプロピル－ｐ－トルイジン  (別名トリフルラリン）,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,0
1600-27-7,酢酸水銀（Ⅱ）,3,,,,3,3,,3,,2,3,3,,3,,,,3,3,,3,,3,3,3,
1663-39-4,アクリル酸＝ターシャリ－ブチル,0,,,,0,1,,1,,0,3,0,,3,,,,2,1,,0,,0,3,3,
1675-54-3,ビスフェノールＡジグリシジルエーテル,3,,,,3,3,,3,,2,3,2,,3,,,,3,3,,3,,3,3,3,3
1761-71-3,ビス（４－アミノシクロヘキシル）メタン,3,,,,3,3,,3,,1,3,2,,3,,,,3,3,,3,,3,3,3,3
1763-23-1,ペルフルオロ（オクタン－１－スルホン酸）,0,,,,0,2,,2,,0,0,0,,0,,,,2,0,,0,,0,3,,
1789-58-8,ジクロロエチルシラン,,0,,,1,1,,2,,0,1,0,,3,,,,2,1,,1,,1,3,,
1836-75-5,２，４－ジクロロフェニル４－ニトロフェニル エーテル（別名ニトロフェン）,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
1861-40-1,Ｎ－ブチル－Ｎ－エチル－アルファ，アルファ，アルファ－トリフルオロ－２，６－ジニトロ－パラ－トルイジン（別名ベスロジン又はベンフルラリン）,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
1897-45-6,テトラクロロイソフタロニトリル (別名クロロタロニル),3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
