,表示用,,,,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,8時間,,短時間,,,,許容濃度,,最大許容濃度,,,,,TWA,,STEL,,C,,,,,MAK,,Peak lim,,,,,,,,,水溶解度,,蒸気圧,,,,,,特化則,特化則,特化則,特化則,有機則,有機則,有機則,鉛則,四アルキル鉛中毒予防規則
CAS RN,Text,日本語名称,英語名称,GHS分類結果_ID,爆発物,可燃性ガス,エアゾール,酸化性ガス,高圧ガス,引火性液体,可燃性固体,自己反応性化学品,自然発火性液体,自然発火性固体,自己発熱性化学品,水反応可燃性化学品,酸化性液体,酸化性固体,有機過酸化物,金属腐食性化学品,鈍性化爆発物,急性毒性（経口）,急性毒性（経皮）,急性毒性（吸入：ガス）,急性毒性（吸入：蒸気）,急性毒性（吸入：粉塵、ミスト）,皮膚腐食性／刺激性,眼に対する重篤な損傷性／眼刺激性,呼吸器感作性,皮膚感作性,生殖細胞変異原性,発がん性,生殖毒性,特定標的臓器毒性（単回暴露）,特定標的臓器毒性（反復暴露）,誤えん有害性,水生環境有害性　短期（急性）,水生環境有害性　長期（慢性）,オゾン層への有害性,詳細情報（NITE HP　GHS分類結果）,モデルラベル掲載ページURL,モデルＳＤＳ掲載ページURL,ppm,mg/m3,ppm,mg/m3,備考,年度,ppm,mg/m3,ppm,mg/m3,備考,皮膚吸収,提案年度,ppm,mg/m3,ppm,mg/m3,ppm,mg/m3,備考,Skin,ドキュメンテーション採用年,ppm,mg/m3,ppm,mg/m3,備考,ドキュメンテーション採用年,"性状
液体:1、固体:2、気体:3",分子量,沸点,水／オクタノール分配係数（logKow）,引火点,値,単位,値,単位,皮膚等障害化学物質,がん原性物質,濃度基準値設定物質,皮膚等障害化学物質の裾切値,第１類,第２類,第３類,裾切,第１類,第２類,第３類,,
50-32-8,ベンゾ[a]ピレン,ベンゾ[a]ピレン,Benzo[a]pyrene,m-nite-50-32-8,,,,,,,,,,,,,,,,,,,,,,,,,,,1B,1A,1B,,2,,1,1,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-50-32-8.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab50-32-8.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/50-32-8.html,,,,,,,,,,,,,,,,,,,,,,1990,,,,,,,2,252.31,495,6.13,,0.00162,mg/L,,,1,1,,0.1,,,,,,,,,
50-44-2,6-メルカプトプリン,6-メルカプトプリン,6-Mercaptopurine,m-nite-50-44-2,,,,,,,,,,,,,,,,,,3,,,,,,,,,1B,,1B,1,1,,3,3,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-50-44-2.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab50-44-2.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/50-44-2.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,152.18,,0.01,,6848,mg/L,,,,,,,,,,,,,,,
50-78-2,アセチルサリチル酸,アセチルサリチル酸,Acetylsalicyclic acid,m-nite-50-78-2,,,,,,,,,,,,,,,,,,4,,,,,,2A,1,,,,1B,1,1,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-50-78-2.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab50-78-2.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/50-78-2.html,,5,,,,2022,,,,,,,,,0.3,,,,,,Skin,2023,,,,,,,2,180.16,,1.19,250,0.33,g/100mL,,,1,,1,1,,,,,,,,,
51-03-6,５－プロパン－１－イル－６－（２，５，８－トリオキサドデカン－１－イル）－１，３－ベンゾジオキソール（別名：ピペロニルブトキシド）,５－プロパン－１－イル－６－（２，５，８－トリオキサドデカン－１－イル）－１，３－ベンゾジオキソール（別名：ピペロニルブトキシド）,"5-Propan-1-yl-6-(2,5,8-trioxadodecan-1-yl)-1,3-benzodioxole; Piperonyl Butoxide",m-nite-51-03-6,,,,,,,,,,,,,,,,,,,,,,,,2B,,,,2,,3,2,,1,1,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-51-03-6.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab51-03-6.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/51-03-6.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,338.44,180,5,212,23.9,mg/L,0.02,hPa,,,,,,,,,,,,,
51-21-8,5-フルオロウラシル,5-フルオロウラシル,5-Fluorouracil,m-nite-51-21-8,,,,,,,,,,,,,,,,,,3,,,,,,,,,2,,1B,,1,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-51-21-8.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab51-21-8.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/51-21-8.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,130.08,,-0.89,,,,,,,,,,,,,,,,,,
51-28-5,"2,4-ジニトロフェノール","2,4-ジニトロフェノール","2,4-Dinitrophenol",m-nite-51-28-5,1.1,,,,,,,,,,,,,,,,,,,,2,3,2,,,,2,,2,1,1,,1,1,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-51-28-5.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab51-28-5.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/51-28-5.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,184.11,,1.67,,6,g/L,,,,,,,,,,,,,,,
51-48-9,チロキシン,チロキシン,Thyroxine,m-nite-51-48-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-51-48-9.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab51-48-9.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/51-48-9.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,776.87,,4.12,,0.000105,mg/L,,,,,,,,,,,,,,,
51-52-5,"2,3-ジヒドロ-6-プロピル-2-チオキソ-4（1H）-ピリミジノン","2,3-ジヒドロ-6-プロピル-2-チオキソ-4（1H）-ピリミジノン","2,3-Dihydro-6-propyl-2-thioxo-4(1H)-pyrimidinone; Propylthiouracil",m-nite-51-52-5,,,,,,,,,,,,,,,,,,4,,,,,,,,,,2,2,,1,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-51-52-5.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab51-52-5.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/51-52-5.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,170.23,,0.98,300,,,,,,,,,,,,,,,,,
51-55-8,アトロピン,アトロピン,atropine,m-nite-51-55-8,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,1,,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-51-55-8.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab51-55-8.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/51-55-8.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,289.37,,1.83,,2200,mg/L,,,,,,,,,,,,,,,
51-75-2,ビス（2-クロロエチル）メチルアミン（ナイトロジェンマスタード）,ビス（2-クロロエチル）メチルアミン（ナイトロジェンマスタード）,Bis(2-chloroethyl)methylamine; Nitrogen mustard,m-nite-51-75-2,,,,,,,,,,,,,,,,,,2,1,,1,,1,1,,,1B,1B,,2,,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-51-75-2.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/labcas-51-75-2.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/cas-51-75-2.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,156.05,87,0.91,,,,65.1,mmHg,1,1,,0.1,,,,,,,,,
51-79-6,ウレタン,ウレタン,Urethane,m-nite-51-79-6,,,,,,,,,,,,,,,,,,4,4,,,,,,,,2,1B,2,3,2,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-51-79-6.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab51-79-6.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/51-79-6.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,89.09,184,-0.15,92,485000,mg/L,0.262,mmHg,,1,,,,,,,,,,,
52-24-4,チオテパ,チオテパ,Thiotepa,m-nite-52-24-4,,,,,,,,,,,,,,,,,,2,,,,,,,,,1B,1A,1B,2,1,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-52-24-4.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab52-24-4.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/52-24-4.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,189.22,,0.53,,17510,mg/L,0.00845,mmHg,,1,,,,,,,,,,,
52-51-7,"2‐ブロモ‐2‐ニトロプロパン‐1,3‐ジオール（別名ブロノポル）","2‐ブロモ‐2‐ニトロプロパン‐1,3‐ジオール（別名ブロノポル）","2-Bromo-2-nitropropane-1,3-diol (Bronopol)",m-nite-52-51-7,,,,,,,2,G,,,,,,,,,,4,,,,2,2,1,,,,,,3,2,,2,2,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-52-51-7.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab52-51-7.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/52-51-7.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,199.99,,-1.01,,200000,mg/L,,,1,,,1,,,,,,,,,
52-68-6,"ジメチル=2,2,2-トリクロロ-1-ヒドロキシエチルホスホナート（別名トリクロルホン又はＤＥＰ）","ジメチル=2,2,2-トリクロロ-1-ヒドロキシエチルホスホナート（別名トリクロルホン又はＤＥＰ）","Dimethyl 2,2,2-trichloro-1-hydroxyethylphosphonate [tichlorfon or DEP]",m-nite-52-68-6,,,,,,,,,,,,,,,,,,4,,,,3,,2A,,1,1B,,1B,1,1,,1,1,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-52-68-6.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab52-68-6.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/52-68-6.html,,,,,,,,0.2,,,,皮,2010,,0.1,,,,,,,2020,,,,,,,2,257.44,,0.51,117,15.4,g/100mL,,,1,,,1,,,,,,,,,
52-86-8,ハロペリドール,ハロペリドール,Haloperidol,m-nite-52-86-8,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,1B,1,1,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-52-86-8.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab52-86-8.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/52-86-8.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,375.87,,4.3,,14,mg/L,,,,,,,,,,,,,,,
52-90-4,L-システイン,L-システイン,L-Cysteine,m-nite-52-90-4,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-52-90-4.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab52-90-4.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/52-90-4.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,121.16,,-2.49,,28,g/100mL,,,,,,,,,,,,,,,
53-16-7,"1,3,5(10)エストラトリエン-3-オール-17-オン (別名：エストロン)","1,3,5(10)エストラトリエン-3-オール-17-オン (別名：エストロン)","1,3,5(10)-Estratrien-3-ol-17-one [Estrone]",m-nite-53-16-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1A,1A,,1,,2,1,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-53-16-7.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab53-16-7.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/53-16-7.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,270.37,,3.13,,0.003,g/100mL,,,,1,,,,,,,,,,,
53-19-0,"1,1-ジクロロ-2-(2-クロロフェニル)-2-(4-クロロフェニル)エタン (別名：o,p'-DDD、ミトタン)","1,1-ジクロロ-2-(2-クロロフェニル)-2-(4-クロロフェニル)エタン (別名：o,p'-DDD、ミトタン)","1,1-Dichloro-2-(2-chlorophenyl)-2-(4-chlorophenyl)ethane [o,p'-DDD, Mitotane]",m-nite-53-19-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-53-19-0.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab53-19-0.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/53-19-0.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,320.05,,5.87,,0.1,mg/L,0.00000194,mmHg,,,,,,,,,,,,,
