,表示用,,,,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,8時間,,短時間,,,,許容濃度,,最大許容濃度,,,,,TWA,,STEL,,C,,,,,MAK,,Peak lim,,,,,,,,,水溶解度,,蒸気圧,,,,,,特化則,特化則,特化則,特化則,有機則,有機則,有機則,鉛則,四アルキル鉛中毒予防規則
CAS RN,Text,日本語名称,英語名称,GHS分類結果_ID,爆発物,可燃性ガス,エアゾール,酸化性ガス,高圧ガス,引火性液体,可燃性固体,自己反応性化学品,自然発火性液体,自然発火性固体,自己発熱性化学品,水反応可燃性化学品,酸化性液体,酸化性固体,有機過酸化物,金属腐食性化学品,鈍性化爆発物,急性毒性（経口）,急性毒性（経皮）,急性毒性（吸入：ガス）,急性毒性（吸入：蒸気）,急性毒性（吸入：粉塵、ミスト）,皮膚腐食性／刺激性,眼に対する重篤な損傷性／眼刺激性,呼吸器感作性,皮膚感作性,生殖細胞変異原性,発がん性,生殖毒性,特定標的臓器毒性（単回暴露）,特定標的臓器毒性（反復暴露）,誤えん有害性,水生環境有害性　短期（急性）,水生環境有害性　長期（慢性）,オゾン層への有害性,詳細情報（NITE HP　GHS分類結果）,モデルラベル掲載ページURL,モデルＳＤＳ掲載ページURL,ppm,mg/m3,ppm,mg/m3,備考,年度,ppm,mg/m3,ppm,mg/m3,備考,皮膚吸収,提案年度,ppm,mg/m3,ppm,mg/m3,ppm,mg/m3,備考,Skin,ドキュメンテーション採用年,ppm,mg/m3,ppm,mg/m3,備考,ドキュメンテーション採用年,"性状
液体:1、固体:2、気体:3",分子量,沸点,水／オクタノール分配係数（logKow）,引火点,値,単位,値,単位,皮膚等障害化学物質,がん原性物質,濃度基準値設定物質,皮膚等障害化学物質の裾切値,第１類,第２類,第３類,裾切,第１類,第２類,第３類,,
109-52-4,吉草酸,吉草酸,valeric acid,m-nite-109-52-4,,,,,,4,,,,,,,,,,,,4,3,,,4,1,1,,,,,,,,,3,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-109-52-4.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab109-52-4.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/109-52-4.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,102.13,186,1.39,86,24000,mg/L,0.196,mmHg,1,,,1,,,,,,,,,
109-53-5,イソブチルビニルエーテル,イソブチルビニルエーテル,Isobutyl vinyl ether,m-nite-109-53-5,,,,,,2,,G,,,,,,,,,,,,,4,,2,,,,,,,,,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-109-53-5.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab109-53-5.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/109-53-5.html,,,,,,,,,,,,,,,,,,,,,,,20,83,20,83,I(1),,1,100.16,82,1.82,-9,3000,mg/L,59.5,mmHg,,,,,,,,,,,,,
109-55-7,"N,N-ジメチル-1,3-ジアミノプロパン","N,N-ジメチル-1,3-ジアミノプロパン","N,N-Dimethyl-1,3-diaminopropane",m-nite-109-55-7,,,,,,3,,,,,,,,,,,,4,3,,,,1,1,,1,,,,3,2,,3,3,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-109-55-7.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab109-55-7.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/109-55-7.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,102.18,132,-0.45,38,1000000,mg/L,10,mmHg,1,,,1,,,,,,,,,
109-59-1,エチレングリコールモノイソプロピルエーテル,エチレングリコールモノイソプロピルエーテル,Ethylene glycol monoisopropyl ether,m-nite-109-59-1,,,,,,3,,,,,,,,,,,,,4,,4,,2,2B,,,,,,1,1,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-109-59-1.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab109-59-1.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/109-59-1.html,,,,,,,,,,,,,,25,,,,,,,Skin,199,10,43,20,86,I(2),,1,104.15,144,0.092,33,1000000,mg/L,0.44,kPa,,,,,,,,,,,,,
109-60-4,酢酸n‐プロピル,酢酸n‐プロピル,n-Propyl acetate,m-nite-109-60-4,,,,,,2,,,,,,,,,,,,,,,4,,,2B,,,,,,3,,,3,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-109-60-4.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab109-60-4.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/109-60-4.html,,,,,,,200,830,,,,,1970,100,,150,,,,,,2018,100,420,200,840,I(2),,1,102.13,101.3,1.24,13,18.7,g/L,3300,Pa,,,,,,,,,,1,,,
109-61-5,クロロぎ酸ノルマルプロピル,クロロぎ酸ノルマルプロピル,Propyl chloroformate,m-nite-109-61-5,,,,,,3,,,,,,,,,,,,4,,,2,,1B,1,,,,,,1,,,2,2,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-109-61-5.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab109-61-5.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/109-61-5.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,122.55,114,1.12,34.4,,,20,mmHg,1,,,1,,,,,,,,,
109-63-7,三フッ化ホウ素ジエチルエーテル（別名：三フッ化ホウ素エーテルコンプレックス）,三フッ化ホウ素ジエチルエーテル（別名：三フッ化ホウ素エーテルコンプレックス）,Boron trifluoride diethyl ether; Boron trifluoride ether complex,m-nite-109-63-7,,,,,,3,,,,,,,,,,,,,,,,,1B,1,,,,,,,,,3,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-109-63-7.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab109-63-7.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/109-63-7.html,,,,,,,,,,,,,,0.1,,,,0.7,,,,2018,,,,,,,1,141.9278,125.7,1.5,59,,,14.9,mmHg,1,,,1,,,,,,,,,
109-64-8,１，３－ジブロモプロパン,１，３－ジブロモプロパン,"1,3-Dibromopropane",m-nite-109-64-8,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,1,2,,2,2,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-109-64-8.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab109-64-8.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/109-64-8.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,201.89,167,2.37,,2,g/L,1.36,mmHg,,,,,,,,,,,,,
109-65-9,1-ブロモブタン,1-ブロモブタン,1-Bromobutane,m-nite-109-65-9,,,,,,2,,,,,,,,,,,,,,,4,,,,,,,1B,,,1,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-109-65-9.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab109-65-9.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/109-65-9.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,137.02,102,2.75,13,869,mg/L,41.97,mmHg,,,,,,,,,,,,,
109-66-0,n-ペンタン,n-ペンタン,n-Pentane,m-nite-109-66-0,,,,,,2,,,,,,,,,,,,,,,,,,2B,,,,,,3,,1,2,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-109-66-0.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab109-66-0.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/109-66-0.html,1000,,,,,2023,300,880,,,,,1987,,,,,,,,,,1000,3000,2000,6000,II(2),,1,72.15,36.06,2.36,-40,0.36,g/L,53.3,kPa,,,1,,,,,,,,,,
109-69-3,1-クロロブタン,1-クロロブタン,1-chlorobutane; butyl chloride,m-nite-109-69-3,,,,,,2,,,,,,,,,,,,,,,,,2,2B,,,,,2,,,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-109-69-3.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab109-69-3.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/109-69-3.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,92.57,78.5,2.66,-12,0.11,g/L,10,kPa,,,,,,,,,,,,,
109-70-6,1-ブロモ-3-クロロプロパン,1-ブロモ-3-クロロプロパン,1-Bromo-3-chloropropane,m-nite-109-70-6,,,,,,3,,,,,,,,,,,,4,,,3,,,,,,2,1B,,3,1,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-109-70-6.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab109-70-6.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/109-70-6.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,157.44,143.3,2.18,57,2240,mg/L,0.85,kPa,,,,,,,,,,,,,
109-72-8,ブチルリチウム,ブチルリチウム,Butyl lithium,m-nite-109-72-8,,,,,,2,,,1,,,1,,,,,,,,,,,,,,,,,1A,,,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-109-72-8.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab109-72-8.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/109-72-8.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,64.06,,,-21,,,16300,Pa,,,,,,,,,,,,,
109-73-9,n-ブチルアミン,n-ブチルアミン,n-Butylamine,m-nite-109-73-9,,,,,,2,,,,,,,,,,,,4,3,,3,,1,1,,,,,1B,1,,,3,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-109-73-9.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab109-73-9.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/109-73-9.html,,,,,,,,,5,15,,皮,1994,,,,,5,,,Skin,1985,2,6.1,4,12.2,I(2),2022,1,73.14,77,0.97,-2,1000000,mg/L,10.9,kPa,1,,,0.3,,,,,,,,,
109-74-0,ブタンニトリル,ブタンニトリル,Butanenitrile,m-nite-109-74-0,,,,,,2,,,,,,,,,,,,3,3,,2,,,2,,,,,,1,,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-109-74-0.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab109-74-0.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/109-74-0.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,69.11,117,0.6,21,33000,mg/L,19,mmHg,,,,,,,,,,,,,
109-76-2,"1,3-ジアミノプロパン","1,3-ジアミノプロパン","1,3-Diaminopropane",m-nite-109-76-2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-109-76-2.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab109-76-2.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/109-76-2.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,74.12,139.8,-1.43,24,,,1000,Pa,,,,,,,,,,,,,
109-77-3,ジシアノメタン（別名：マロノニロトル）,ジシアノメタン（別名：マロノニロトル）,Dicyanomethane; Malononitrile,m-nite-109-77-3,,,,,,,,,,,,,,,,,,3,3,,1,,,2,,,,,,1,,,1,1,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-109-77-3.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab109-77-3.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/109-77-3.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,66.06,,-0.6,112,133000,mg/L,0.2,mmHg,,,,,,,,,,,,,
109-78-4,エチレンシアンヒドリン,エチレンシアンヒドリン,Ethylene cyanhydrin,m-nite-109-78-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-109-78-4.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab109-78-4.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/109-78-4.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,71.08,221,-0.94,129,1000,g/L,0.08,mmHg,,,,,,,,,,,,,
109-79-5,1-ブタンチオール,1-ブタンチオール,1-Butanethiol,m-nite-109-79-5,,,,,,2,,,,,,,,,,,,4,,,4,,,2A,,1B,,,,1,,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-109-79-5.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab109-79-5.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/109-79-5.html,,,,,,,,,,,,,,0.5,,,,,,,,1970,1,3.7,2,7.4,II(2),2022,1,90.18,98,2.28,2,1,g/L,4,kPa,1,,,1,,,,,,,,,
109-83-1,2-メチルアミノエタノール,2-メチルアミノエタノール,2-Methylaminoethanol,m-nite-109-83-1,,,,,,4,,,,,,,,,,,,,4,,,,1,1,,,,,,,1,,3,3,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-109-83-1.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab109-83-1.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/109-83-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,75.11,155,-0.94,72,1000000,mg/L,1.08,mmHg,1,,,1,,,,,,,,,
109-84-2,ヒドロキシエチルヒドラジン,ヒドロキシエチルヒドラジン,Hydroxyethylhydrazine,m-nite-109-84-2,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-109-84-2.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab109-84-2.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/109-84-2.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,76.1,145,-1.98,106,1000000,mg/L,0.0231,mmHg,,,,,,,,,,,,,
109-86-4,エチレングリコールモノメチルエーテル,エチレングリコールモノメチルエーテル,Ethylene glycol monomethyl ether,m-nite-109-86-4,,,,,,3,,,,,,,,,,,,,4,,4,,,,,,,,1B,1,1,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-109-86-4.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab109-86-4.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/109-86-4.html,,,,,,,0.1,0.31,,,,皮,2009,0.1,,,,,,,Skin,2006,1,3.2,8,25.6,II(8),,1,76.09,124.1,-0.503,42,10000,mg/L,0.83,kPa,1,,,0.3,,,,,,1,,,
109-87-5,メチラール,メチラール,Methylal,m-nite-109-87-5,,,,,,2,,,,,,,,,,,,,,,,,2,2,,,,,,3,,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-109-87-5.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab109-87-5.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/109-87-5.html,1000,,,,,2023,,,,,,,,1000,,,,,,,,1987,500,1600,1000,3200,II(2),,1,76.09,42,0,-32,33,g/100mL,44,kPa,,,1,,,,,,,,,,
109-89-7,ジエチルアミン,ジエチルアミン,Diethylamine,m-nite-109-89-7,,,,,,2,,,,,,,,,,,,3,3,,4,,1,1,,,,,,1,1,,3,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-109-89-7.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab109-89-7.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/109-89-7.html,5,,15,,,2023,10,30,,,,,1989,5,,15,,,,,Skin,2013,2,6.1,4,12.2,I(2),2022,1,73.14,55.5,0.59,-26,100,g/L,237,mmHg,1,,1,1,,,,,,,,,
109-92-2,エチルビニルエーテル,エチルビニルエーテル,Ethyl vinyl ether,m-nite-109-92-2,,,,,,1,,G,,,,,,,,,,,,,,,,,,,,,,3,,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-109-92-2.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab109-92-2.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/109-92-2.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,72.10572,36,1.04,-45,9,g/L,511,mmHg,,,,,,,,,,,,,
109-94-4,ぎ酸エチル,ぎ酸エチル,Ethyl formate,m-nite-109-94-4,,,,,,2,,,,,,,,,,,,4,,,4,,,2A,,,,,,1,,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-109-94-4.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab109-94-4.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/109-94-4.html,,,,,,,,,,,,,,,,100,,,,,,2012,100,310,100,310,I(1),,1,74.08,54.5,0.23,-20,88.4,g/L,92000,Pa,,,,,,,,,,,,,
109-97-7,ピロール,ピロール,Pyrrole,m-nite-109-97-7,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-109-97-7.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab109-97-7.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/109-97-7.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,67.09,129.79,0.75,39,45000,mg/L,8.36,mmHg,,,,,,,,,,,,,
109-99-9,テトラヒドロフラン,テトラヒドロフラン,Tetrahydrofuran,m-nite-109-99-9,,,,,,2,,,,,,,,,,,,4,,,4,,2,2A,,,,2,2,1,1,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-109-99-9.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab109-99-9.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/109-99-9.html,,,,,,,50,148,,,,皮,2015,50,,100,,,,,Skin,2005,20,60,40,120,I(2),2023,1,72.11,65,0.46,-14.5,1000000,mg/L,145,mmHg,1,,,1,,,,,,1,,,
110-00-9,フラン,フラン,Furan,m-nite-110-00-9,,,,,,1,,,,,,,,,,,,,,,3,,,,,,,2,,1,1,,3,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-110-00-9.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab110-00-9.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/110-00-9.html,,,,,,,,,,,,,,,,,,,,,,,0.02,0.056,0.04,0.112,II(2),,1,68.08,31.36,1.34,-35,,,,,,,,,,,,,,,,,
110-01-0,テトラヒドロチオフェン,テトラヒドロチオフェン,Tetrahydrothiophene,m-nite-110-01-0,,,,,,2,,,,,,,,,,,,4,,,4,,,,,,,,,,,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-110-01-0.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab110-01-0.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/110-01-0.html,,,,,,,,,,,,,,,,,,,,,,,50,183,50,183,I(1),2022,1,88.17132,119,1.8,13,5.8,g/L,2.4,kPa,,,,,,,,,,,,,
110-02-1,チオフェン,チオフェン,Thiophene,m-nite-110-02-1,,,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,,2,,3,3,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-110-02-1.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab110-02-1.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/110-02-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,84.14,84.4,1.81,-9,3010,mg/L,79.7,mmHg,,,,,,,,,,,,,
110-05-4,ジ‐ターシャリ‐ブチルペルオキシド,ジ‐ターシャリ‐ブチルペルオキシド,di-tert-butyl peroxide,m-nite-110-05-4,,,,,,2,,,,,,,,,E,,,,,,,,,,,,2,,,,,,3,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-110-05-4.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab110-05-4.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/110-05-4.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,146.23,111,3.45,18.3,63,mg/L,19.51,mmHg,,,,,,,,,,,,,
110-12-3,5-メチル-2-ヘキサノン,5-メチル-2-ヘキサノン,5-Methyl-2-hexanone,m-nite-110-12-3,,,,,,3,,,,,,,,,,,,,,,4,,,2B,,,,,,3,2,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-110-12-3.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab110-12-3.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/110-12-3.html,10,,,,,2023,,,,,,,,20,,50,,,,,,2013,10,47,20,94,I(2),,1,114.19,144,1.88,35,5,g/L,5.77,mmHg,,,1,,,,,,,,,,
110-13-4,アセトニルアセトン,アセトニルアセトン,Acetonylacetone,m-nite-110-13-4,,,,,,4,,,,,,,,,,,,4,,,,,,2A,,,,,,3,1,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-110-13-4.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab110-13-4.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/110-13-4.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,114.14,192,-0.27,79,179100,mg/L,0.6,hPa,,,,,,,,,,,,,
110-16-7,マレイン酸,マレイン酸,maleic acid,m-nite-110-16-7,,,,,,,,,,,,,,,,,,4,4,,,,2,1,,1A,,,,1,,,3,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-110-16-7.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab110-16-7.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/110-16-7.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,116.07,,-0.48,127,78.9,g/100mL,,,1,,,1,,,,,,,,,
110-17-8,フマル酸,フマル酸,Fumaric acid,m-nite-110-17-8,,,,,,,,,,,,,,,,,,,,,,,,2A,,,,,,,,,3,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-110-17-8.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab110-17-8.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/110-17-8.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,116.07,,0.33,273,0.63,g/100mL,,,,,,,,,,,,,,,
110-18-9,"N,N,N′,N′‐テトラメチルエチレンジアミン","N,N,N′,N′‐テトラメチルエチレンジアミン","N,N,N',N'-tetramethylethylenediamine",m-nite-110-18-9,,,,,,2,,,,,,,,,,,,4,4,,3,,1,1,,,,,,1,,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-110-18-9.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab110-18-9.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/110-18-9.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,116.2,122,0.3,19,585000,mg/L,16.7,mmHg,1,,,1,,,,,,,,,
110-19-0,酢酸イソブチル,酢酸イソブチル,Isobutyle acetate,m-nite-110-19-0,,,,,,2,,,,,,,,,,,,,,,4,,,2B,,,,,,3,,,3,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-110-19-0.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab110-19-0.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/110-19-0.html,,,,,,,,,,,,,,50,,150,,,,,,2016,100,480,200,960,I(2),,1,116.16,116.5,1.6,18,0.67,g/100mL,1.73,kPa,,,,,,,,,,1,,,
110-25-8,オレオイルザルコシン,オレオイルザルコシン,Oleoylsarcosine,m-nite-110-25-8,,,,,,,,,,,,,,,,,,,,,,4,1,2A,,,,,,,,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-110-25-8.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab110-25-8.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/110-25-8.html,,,,,,,,,,,,,,,,,,,,,,,,0.05,,0.1,II(2),,1,353.54,397,6,225,0.44,mg/L,0.0000004,hPa,1,,,1,,,,,,,,,
110-26-9,"N,N'-メチレンビスアクリルアミド","N,N'-メチレンビスアクリルアミド","N,N'-Methylenebisacrylamide",m-nite-110-26-9,,,,,,,,,,,,,,,,,,3,,,,,,,,,1B,,1B,1,,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-110-26-9.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab110-26-9.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/110-26-9.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,154.17,,,,3,g/L,,,,,,,,,,,,,,,
110-42-9,メチル=デカノアート,メチル=デカノアート,Methyl decanoate,m-nite-110-42-9,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-110-42-9.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab110-42-9.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/110-42-9.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,186.29,224,4.41,90,4,mg/L,0.0487,mmHg,,,,,,,,,,,,,
110-43-0,メチル-ノルマル-ペンチルケトン (別名：2-ヘプタノン),メチル-ノルマル-ペンチルケトン (別名：2-ヘプタノン),Methyl n-pentyl ketone (2-Heptanone),m-nite-110-43-0,,,,,,3,,,,,,,,,,,,4,,,,,,2B,,,,,,3,,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-110-43-0.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab110-43-0.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/110-43-0.html,,,,,,,,,,,,,,50,,,,,,,,2024,,,,,,,1,114.19,151,1.98,40,4,g/L,3.86,mmHg,,,,,,,,,,,,,
110-45-2,ギ酸イソアミル,ギ酸イソアミル,Isoamyl formate,m-nite-110-45-2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-110-45-2.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab110-45-2.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/110-45-2.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,116.16,123.5,1.72,22,3500,mg/L,15.3,mmHg,,,,,,,,,,,,,
110-46-3,亜硝酸イソペンチル,亜硝酸イソペンチル,Isopentyl nitrite,m-nite-110-46-3,,,,,,2,,,,,,,,,,,,,,,3,,,,,1,,,,1,,,1,3,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-110-46-3.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab110-46-3.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/110-46-3.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,117.15,97,2.77,-20,441,mg/L,3.5,mmHg,1,,,1,,,,,,,,,
110-49-6,エチレングリコールモノメチルエーテルアセテート,エチレングリコールモノメチルエーテルアセテート,Ethylene glycol monomethyl ether acetate,m-nite-110-49-6,,,,,,3,,,,,,,,,,,,,,,,,,2B,,,,,1A,1,1,,3,2,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-110-49-6.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab110-49-6.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/110-49-6.html,1,,,,,2023,0.1,0.48,,,,皮,2009,0.1,,,,,,,Skin,2006,1,4.9,8,39.2,II(8),,1,118.13,145,0.121,45,1000000,mg/L,2,mmHg,1,,1,0.3,,,,,,,,,
