CAS_RN,Product_Name,amount_level,spray_work,area_high,ventilation,work_time_daily,freq_type,freq_val,exposure_variation,skin_area,glove_type,glove_edu,process_temp,ignition_source,explosive_atm,metal_contact,water_contact,concentration,target_inh,target_derm,target_phys,Text,\x93\xfa\x96{\x8cꖼ\x8f\xcc,\x89p\x8cꖼ\x8f\xcc,GHS\x95\xaa\x97ތ\x8b\x89\xca_ID,GHS_Explosives,GHS_FlamGas,GHS_Aerosol,GHS_OxGas,GHS_GasesUnderPressure,GHS_FlamLiq,GHS_FlamSol,GHS_SelfReact,GHS_PyrLiq,GHS_PyrSol,GHS_SelfHeat,GHS_WaterReact,GHS_OxLiq,GHS_OxSol,GHS_OrgPerox,GHS_MetCorr,GHS_InertExplosives,GHS_AcuteTox_Oral,GHS_AcuteTox_Dermal,GHS_AcuteTox_Inhalation_Gas,GHS_AcuteTox_Inhalation_Vapor,GHS_AcuteTox_Inhalation_Dust,GHS_SkinCorrosion_Irritation,GHS_EyeDamage_Irritation,GHS_RespiratorySensitizer,GHS_SkinSensitizer,GHS_GermCellMutagenicity,GHS_Carcinogenicity,GHS_ReproductiveToxicity,GHS_STOT_Single,GHS_STOT_Repeated,\x8c낦\x82\xf1\x97L\x8aQ\x90\xab,\x90\x85\x90\xb6\x8a\xab\x97L\x8aQ\x90\xab\x81@\x92Z\x8a\xfa\x81i\x8b}\x90\xab\x81j,\x90\x85\x90\xb6\x8a\xab\x97L\x8aQ\x90\xab\x81@\x92\xb7\x8a\xfa\x81i\x96\x9d\x90\xab\x81j,\x83I\x83]\x83\x93\x91w\x82ւ̗L\x8aQ\x90\xab,\x8fڍ׏\xee\x95\xf1\x81iNITE HP\x81@GHS\x95\xaa\x97ތ\x8b\x89ʁj,\x83\x82\x83f\x83\x8b\x83\x89\x83x\x83\x8b\x8cf\x8dڃy\x81[\x83WURL,\x83\x82\x83f\x83\x8b\x82r\x82c\x82r\x8cf\x8dڃy\x81[\x83WURL,ppm,mg/m3,ppm.1,mg/m3.1,\x94\xf5\x8dl,\x94N\x93x,ppm.2,mg/m3.2,ppm.3,mg/m3.3,\x94\xf5\x8dl.1,\x94畆\x8bz\x8e\xfb,\x92\xf1\x88ĔN\x93x,ppm.4,mg/m3.4,ppm.5,mg/m3.5,ppm.6,mg/m3.6,\x94\xf5\x8dl.2,Skin,\x83h\x83L\x83\x85\x83\x81\x83\x93\x83e\x81[\x83V\x83\x87\x83\x93\x8d̗p\x94N,ppm.7,mg/m3.7,ppm.8,mg/m3.8,\x94\xf5\x8dl.3,\x83h\x83L\x83\x85\x83\x81\x83\x93\x83e\x81[\x83V\x83\x87\x83\x93\x8d̗p\x94N.1,prop_type_raw,mw,bp,log_kow,flash_point,vp_val,vp_unit,water_sol_val,water_sol_unit,\x94畆\x93\x99\x8f\xe1\x8aQ\x89\xbb\x8aw\x95\xa8\x8e\xbf,\x82\xaa\x82񌴐\xab\x95\xa8\x8e\xbf,\x94Z\x93x\x8a\x92l\x90ݒ蕨\x8e\xbf,\x94畆\x93\x99\x8f\xe1\x8aQ\x89\xbb\x8aw\x95\xa8\x8e\xbf\x82̐\x9e\x90ؒl,\x91\xe6\x82P\x97\xde,\x91\xe6\x82Q\x97\xde,\x91\xe6\x82R\x97\xde,\x90\x9e\x90\xd8,\x91\xe6\x82P\x97\xde.1,\x91\xe6\x82Q\x97\xde.1,\x91\xe6\x82R\x97\xde.1,Unnamed: 91,Unnamed: 92,vp_val_pa,water_sol_mg_cm3,prop_type,volatility_rank,ACR_Max,\x94Z\x93x\x8a\x92l,\x93\xfa\x96{\x8eY\x8bƉq\x90\xb6\x8aw\x89\xef \x8b\x96\x97e\x94Z\x93x,ACGIH TLV-TWA,DFG MAK,\x94Z\x93x\x8a\x92l(\x92Z\x8e\x9e\x8a\xd4),\x93\xfa\x96{\x8eY\x8bƉq\x90\xb6\x8aw\x89\xef (\x93V\x88\xe4\x92l),ACGIH TLV-STEL,OEL_8h,OEL_ST,conc_coeff,spray_coeff,area_coeff,venti_coeff,var_coeff,time_coeff,initial_ep,EpBandMax,EpBandMax_ST,kp,jmax,evap_rate,Dermal_Abs,RCR_Inhalation,Risk_Level_Inh,RCR_Inh_ST,Risk_Level_Inh_ST,OEL_Dermal,RCR_Dermal,Risk_Level_Derm,Phys_Score_Max,Risk_Level_Phys,Phys_Risk_Factors
67-64-1,\x83A\x83Z\x83g\x83\x93,2,False,False,1.0,0.5,1,5,4,240,0.2,0.5,20,True,True,False,False,100,True,True,True,\x83A\x83Z\x83g\x83\x93,\x83A\x83Z\x83g\x83\x93,Acetone,m-nite-67-64-1,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2B,nan,nan,nan,nan,2,3.0,1.0,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-67-64-1.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab67-64-1.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/67-64-1.html,,,,,,,200.0,475.0,,,,,1972.0,250.0,,500.0,,,,,,2015.0,500.0,1200.0,1000.0,2400.0,I(2),,1.0,58.08,56.0,-0.24,-20.0,1000000.0,mg/L,239.5,hPa,,,,,,,,,,1.0,,,,1000000.0,0.0,1.0,2,500.0,,,,,,,,,1500.0,1.0,1,1,1.0,4,0.1,500.0,50.0,2000.0,0.00148064764684407,0.0,22072.076279153556,0.0,0.1,I,1.3333333333333333,III,8907.9754601227,0.0,I,5,IV,\x93ݐ\xab\x89\xbb\x94\x9a\x94\xad\x95\xa8 nan
7732-18-5,\x90\x85,4,True,False,4.0,10.0,0,1,6,10,1.0,1.0,50,False,False,False,False,100,True,True,False,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10.0,,,,,,,,,30.0,1.0,10,1,4.0,6,1.0,0.0,0.0,0.0,,,0.0,,0.0,I,0.0,I,75.0,,-,0,I,\x95]\x89\xbf\x91ΏۊO
