分類,名前の定義,項目,選択肢,Key,値,,,,,,,,,
GHS,listGHSSelfReact,自己反応性化学品,タイプE,GHS自己反応性化学品タイプE,E,,,,急性毒性（吸入：粉塵、ミスト）,Acute toxicity (Inhalation: Dusts and mists),AcuteToxInhalationDustOrMist,GHS_AcuteToxInhalationDustOrMist,ghsAcuteToxInhalationDustOrMist,cmbGHSAcuteToxInhalationDustOrMist
GHS,listGHSSelfReact,自己反応性化学品,タイプF,GHS自己反応性化学品タイプF,F,,,,皮膚腐食性／刺激性,Skin corrosion/irritation,SkinCorrOrIrrit,GHS_SkinCorrOrIrrit,ghsSkinCorrOrIrrit,cmbGHSSkinCorrOrIrrit
GHS,listGHSSelfReact,自己反応性化学品,タイプG,GHS自己反応性化学品タイプG,G,,,,眼に対する重篤な損傷性／眼刺激性,Serious eye damage/eye irritation,EyeCorrOrIrrit,GHS_EyeCorrOrIrrit,ghsEyeCorrOrIrrit,cmbGHSEyeCorrOrIrrit
GHS,listGHSPyrLiq,自然発火性液体,区分1,GHS自然発火性液体区分1,1,,,,呼吸器感作性,Respiratory sensitization,RespSens,GHS_RespSens,ghsRespSens,cmbGHSRespSens
GHS,listGHSPyrSol,自然発火性固体,区分1,GHS自然発火性固体区分1,1,,,,皮膚感作性,Skin sensitization,SkinSens,GHS_SkinSens,ghsSkinSens,cmbGHSSkinSens
GHS,listGHSSelfHeat,自己発熱性化学品,区分1,GHS自己発熱性化学品区分1,1,,,,生殖細胞変異原性,Germ cell mutagenicity,Muta,GHS_Muta,ghsMuta,cmbGHSMuta
GHS,listGHSSelfHeat,自己発熱性化学品,区分2,GHS自己発熱性化学品区分2,2,,,,発がん性,Carcinogenicity,Carc,GHS_Carc,ghsCarc,cmbGHSCarc
GHS,listGHSWaterReact,水反応可燃性化学品,区分1,GHS水反応可燃性化学品区分1,1,,,,生殖毒性,Reproductive toxicity,Repr,GHS_Repr,ghsRepr,cmbGHSRepr
GHS,listGHSWaterReact,水反応可燃性化学品,区分2,GHS水反応可燃性化学品区分2,2,,,,特定標的臓器毒性（単回暴露）,Specific target organ toxicity - Single exposure,STOTSE,GHS_STOTSE,ghsSTOTSE,cmbGHSSTOTSE
GHS,listGHSWaterReact,水反応可燃性化学品,区分3,GHS水反応可燃性化学品区分3,3,,,,特定標的臓器毒性（反復暴露）,Specific target organ toxicity - Repeated exposure,STOTRE,GHS_STOTRE,ghsSTOTRE,cmbGHSSTOTRE
GHS,listGHSOxLiq,酸化性液体,区分1,GHS酸化性液体区分1,1,,,,誤えん有害性,Aspiration hazard,AspTox,GHS_AspTox,ghsAspTox,cmbGHSAspTox
GHS,listGHSOxLiq,酸化性液体,区分2,GHS酸化性液体区分2,2,,,,,,,,,
GHS,listGHSOxLiq,酸化性液体,区分3,GHS酸化性液体区分3,3,,,,,,,,,
GHS,listGHSOxSol,酸化性固体,区分1,GHS酸化性固体区分1,1,,,,,,,,,
GHS,listGHSOxSol,酸化性固体,区分2,GHS酸化性固体区分2,2,,,,,,,,,
GHS,listGHSOxSol,酸化性固体,区分3,GHS酸化性固体区分3,3,,,,,,,,,
GHS,listGHSOrgPerox,有機過酸化物,タイプA,GHS有機過酸化物タイプA,A,,,,,,,,,
GHS,listGHSOrgPerox,有機過酸化物,タイプB,GHS有機過酸化物タイプB,B,,,,,,,,,
GHS,listGHSOrgPerox,有機過酸化物,タイプC,GHS有機過酸化物タイプC,C,,,,,,,,,
GHS,listGHSOrgPerox,有機過酸化物,タイプD,GHS有機過酸化物タイプD,D,,,,,,,,,
GHS,listGHSOrgPerox,有機過酸化物,タイプE,GHS有機過酸化物タイプE,E,,,,,,,,,
